,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
125,173,MLT,Malta,Valletta,Europe,"534,420",533286,"443,646",515357,456579,418755,399212,316,1687.6139,0.33%,0.01%
126,215,MHL,Marshall Islands,Majuro,Oceania,"41,996",41569,"59,610",43413,49410,53416,54224,181,229.663,1.03%,0%
127,180,MTQ,Martinique,Fort-de-France,North America,"366,981",367507,"374,314",370391,383515,392181,432543,1128,325.8041,-0.14%,0%
128,126,MRT,Mauritania,Nouakchott,Africa,"4,836,604",4736139,"4,848,828",4498604,3946220,3419461,2695003,1030700,4.5951,2.68%,0.06%
129,157,MUS,Mauritius,Port Louis,Africa,"1,300,557",1299469,"1,274,295",1297828,1293153,1283330,1215930,2040,636.9946,0.08%,0.02%
130,182,MYT,Mayotte,Mamoudzou,Africa,"334,064",326101,"283,394",305587,249545,211786,159215,374,871.9278,3.03%,0%
131,10,MEX,Mexico,Mexico City,North America,"128,263,146",127504125,"131,046,075",125998302,120149897,112532401,97873442,1964375,64.9082,0.75%,1.6%
132,194,FSM,Micronesia,Palikir,Oceania,"115,224",114164,"116,901",112106,109462,107588,111709,702,162.6268,0.93%,0%
133,135,MDA,Moldova,Chisinau,Europe,"3,461,029",3272996,"4,017,984",3084847,3277388,3678186,4251573,33846,96.7026,4.98%,0.04%
134,217,MCO,Monaco,Monaco,Europe,"36,297",36469,"39,511",36922,36760,33178,32465,2,18234.5,-0.47%,0%
135,134,MNG,Mongolia,Ulaanbaatar,Asia,"3,437,504",3398366,"3,359,247",3294335,2964749,2702520,2450979,1564110,2.1727,1.44%,0.04%
136,169,MNE,Montenegro,Podgorica,Europe,"626,485",627082,"628,053",629048,633966,631044,633324,13812,45.4012,-0.1%,0.01%
137,230,MSR,Montserrat,Brades,North America,"4,386",4390,"4,977",4500,5059,4938,5138,102,43.0392,-0.09%,MSR
138,40,MAR,Morocco,Rabat,Africa,"37,762,818",37457971,"37,599,544",36688772,34680458,32464865,28554415,446550,83.883,1.02%,0.47%
139,48,MOZ,Mozambique,Maputo,Africa,"33,703,003",32969517,"32,696,683",31178239,26843246,23073723,17768505,801590,41.1302,2.81%,0.42%
140,26,MMR,Myanmar,Nay Pyi Taw,Asia,"54,497,554",54179306,"55,037,700",53423198,51483949,49390988,45538332,676578,80.0784,0.74%,0.68%
141,145,NAM,Namibia,Windhoek,Africa,"2,596,449",2567012,"2,614,500",2489098,2282704,2099271,1819141,825615,3.1092,1.45%,0.03%
142,225,NRU,Nauru,Yaren,Oceania,"12,780",12668,"10,876",12315,11185,10241,10377,21,603.2381,0.88%,0%
143,49,NPL,Nepal,Kathmandu,Asia,"30,825,800",30547580,"29,960,704",29348627,27610325,27161567,24559500,147181,207.5511,1.14%,0.39%
144,71,NLD,Netherlands,Amsterdam,Europe,"17,607,359",17564014,"17,195,298",17434557,17041107,16617116,15899135,41850,419.6897,0.31%,0.22%
145,185,NCL,New Caledonia,Nouméa,Oceania,"292,347",289950,"289,727",286403,283032,261426,221537,18575,15.6097,1.05%,0%
146,123,NZL,New Zealand,Wellington,Oceania,"5,219,734",5185288,"4,883,704",5061133,4590590,4346338,3855266,270467,19.1716,0.83%,0.07%
147,106,NIC,Nicaragua,Managua,North America,"7,026,360",6948392,"6,748,507",6755895,6298598,5855734,5123222,130373,53.2962,1.41%,0.09%
148,54,NER,Niger,Niamey,Africa,"26,996,264",26207977,"25,677,816",24333639,20128124,16647543,11622665,1267000,20.6851,3.8%,0.34%
149,6,NGA,Nigeria,Abuja,Africa,"222,723,472",218541212,"214,507,696",208327405,183995785,160952853,122851984,923768,236.5759,2.41%,2.8%
150,232,NIU,Niue,Alofi,Oceania,"1,935",1934,"1,619",1942,1847,1812,2074,260,7.4385,0.05%,NIU
151,56,PRK,North Korea,Pyongyang,Asia,"26,142,802",26069416,"25,950,189",25867467,25258015,24686435,23367059,120538,216.2755,0.35%,0.33%
152,150,MKD,North Macedonia,Skopje,Europe,"2,086,966",2093599,"2,082,011",2111072,2107962,2093828,2037936,25713,81.4218,-0.38%,0.03%
153,210,NFK,Northern Mariana Islands,Saipan,Oceania,"49,796",49551,"57,917",49587,51514,54087,80338,464,106.7909,0.49%,0%
154,120,NOR,Norway,Oslo,Europe,"5,465,994",5434319,"5,492,570",5379839,5190356,4889741,4491202,323802,16.7828,0.74%,0.07%
155,127,OMN,Oman,Muscat,Asia,"4,630,226",4576298,"5,296,006",4543399,4191776,2881914,2344253,309500,14.7861,1.49%,0.06%
156,5,PAK,Pakistan,Islamabad,Asia,"239,523,554",235824862,"227,724,796",227196741,210969298,194454498,154369924,881912,267.4018,1.98%,3%
157,222,PLW,Palau,Ngerulmud,Oceania,"18,058",18055,"18,169",17972,17794,18540,19726,459,39.3355,0.02%,0%
158,122,PSE,Palestine,Ramallah,Asia,"5,346,132",5250072,"5,293,440",5019401,4484614,3992278,3139954,6220,844.063,2.31%,0.07%
159,128,PAN,Panama,Panama City,North America,"4,455,860",4408581,"4,420,589",4294396,3957099,3623617,3001731,75417,58.4561,1.35%,0.06%
160,93,PNG,Papua New Guinea,Port Moresby,Oceania,"10,291,962",10142619,"9,220,306",9749640,8682174,7583269,5508297,462840,21.9139,1.85%,0.13%
161,109,PRY,Paraguay,Asunción,South America,"6,844,148",6780744,"7,270,717",6618695,6177950,5768613,5123819,406752,16.6705,1.19%,0.09%
162,44,PER,Peru,Lima,South America,"34,285,146",34049588,"33,587,011",33304756,30711863,29229572,26654439,1285216,26.4933,0.89%,0.43%
163,13,PHL,Philippines,Manila,Asia,"116,976,338",115559009,"111,913,102",112190977,103031365,94636700,77958223,342353,337.5434,1.54%,1.47%
164,37,POL,Poland,Warsaw,Europe,"41,210,122",39857145,"37,764,461",38428366,38553146,38597353,38504431,312679,127.4698,2.93%,0.51%
165,92,PRT,Portugal,Lisbon,Europe,"10,252,753",10270865,"10,150,252",10298192,10365435,10588401,10300626,92090,111.5307,-0.23%,0.13%
166,136,PRI,Puerto Rico,San Juan,North America,"3,258,383",3252407,"2,806,918",3271564,3497335,3717922,3827108,8870,366.675,0.24%,0.04%
167,143,QAT,Qatar,Doha,Asia,"2,711,886",2695122,"2,962,425",2760385,2414573,1713504,645937,11586,232.6189,0.79%,0.03%
168,114,COG,Republic of the Congo,Brazzaville,Africa,,5970424,,5702174,5064386,4437884,3134030,342000,17.4574,,
169,161,REU,Reunion,Saint-Denis,Africa,"980,509",974052,"905,350",957822,922495,890130,785424,2511,387.914,0.8%,0.01%
170,64,ROU,Romania,Bucharest,Europe,"19,959,097",19659267,"19,062,255",19442038,19906079,20335211,21919876,238391,82.4665,1.19%,0.25%
171,9,RUS,Russia,Moscow,Europe,"144,546,040",144713314,"145,899,956",145617329,144668389,143242599,146844839,17098242,8.4636,-0.19%,1.8%
172,76,RWA,Rwanda,Kigali,Africa,"14,029,685",13776698,"13,466,174",13146362,11642959,10309031,8109989,26338,523.0731,2.31%,0.18%
173,228,BLM,Saint Barthelemy,Gustavia,North America,"10,994",10967,"9,907",10681,9643,8988,7082,21,522.2381,0.25%,0%
